Disease,Disease_id,Gene,Gene_id,UniProt,Gene_Full_Name,Protein_Class,N_diseases_g,DSI_g,DPI_g,pLI,Score_gda,EL_gda,EI_gda,N_PMIDs,N_SNPs_gda,First_Ref,Last_Ref
Alzheimer's Disease,C0002395,ACE,1636,P12821,angiotensin I converting enzyme,Enzyme,1082,0.328,0.923,0.00000000000000000000000000000000000010344,0.9,strong,0.915,94,8,1998,2020
Alzheimer's Disease,C0002395,APP,351,P05067,amyloid beta precursor protein,Enzyme modulator,485,0.422,0.846,0.046544,0.9,,0.981,2575,61,1987,2020
Alzheimer's Disease,C0002395,ADAM10,102,O14672,ADAM metallopeptidase domain 10,,224,0.489,0.846,1,0.7,,0.986,74,8,2000,2019
Alzheimer's Disease,C0002395,GSK3B,2932,P49841,glycogen synthase kinase 3 beta,Kinase,393,0.43,0.846,0.95571,0.7,,0.982,113,4,2000,2020
Alzheimer's Disease,C0002395,HFE,3077,Q30201,homeostatic iron regulator,,415,0.436,0.846,0.000000025587,0.7,strong,0.963,27,3,2001,2018
Alzheimer's Disease,C0002395,APOE,348,P02649,apolipoprotein E,,1049,0.338,0.962,0.0018685,0.7,,0.946,3042,25,1991,2020
Alzheimer's Disease,C0002395,MAPT,4137,P10636,microtubule associated protein tau,,469,0.446,0.923,0.0060258,0.7,,0.99,997,23,1988,2020
Alzheimer's Disease,C0002395,TREM2,54209,Q9NZC2,triggering receptor expressed on myeloid cells 2,,239,0.519,0.769,0.0000000032892,0.7,limited,0.977,214,13,2007,2020
Alzheimer's Disease,C0002395,PSEN1,5663,P49768,presenilin 1,Enzyme,369,0.469,0.846,0.97322,0.7,,0.971,682,62,1990,2020
Alzheimer's Disease,C0002395,PLAU,5328,P00749,"plasminogen activator, urokinase",Enzyme,439,0.425,0.923,0.0000023058,0.68,,1,8,1,2002,2013
Alzheimer's Disease,C0002395,BACE1,23621,P56817,beta-secretase 1,Enzyme,120,0.559,0.769,0.87888,0.6,,0.985,472,4,1999,2020
Alzheimer's Disease,C0002395,IDE,3416,P14735,insulin degrading enzyme,Enzyme,71,0.604,0.577,0.0066309,0.6,,0.955,88,9,2000,2019
Alzheimer's Disease,C0002395,IL1B,3553,P01584,interleukin 1 beta,,1801,0.276,0.962,0.13005,0.6,,0.966,116,0,1989,2020
Alzheimer's Disease,C0002395,INSR,3643,P06213,insulin receptor,Kinase,452,0.432,0.846,0.000036145,0.6,,1,34,0,2002,2020
Alzheimer's Disease,C0002395,LEP,3952,P41159,leptin,,931,0.349,0.846,0.46491,0.6,,0.944,36,0,2004,2019
Alzheimer's Disease,C0002395,NPY,4852,P01303,neuropeptide Y,Signaling,381,0.447,0.846,0.14294,0.6,,0.833,12,0,2000,2018
Alzheimer's Disease,C0002395,BCL2,596,P10415,BCL2 apoptosis regulator,Signaling,1456,0.291,0.885,0.55903,0.6,,1,32,1,1996,2019
Alzheimer's Disease,C0002395,BDNF,627,P23560,brain derived neurotrophic factor,Signaling,992,0.345,0.923,0.65626,0.6,,0.958,239,10,1991,2020
Alzheimer's Disease,C0002395,CASP3,836,P42574,caspase 3,Enzyme,819,0.351,0.923,0.10017,0.6,,0.98,50,2,1999,2020
Alzheimer's Disease,C0002395,IGF2,3481,P01344,insulin like growth factor 2,,604,0.39,0.885,0.044127,0.57,,1,9,0,2002,2019
Alzheimer's Disease,C0002395,IGF1R,3480,P08069,insulin like growth factor 1 receptor,Kinase,556,0.399,0.885,0.96799,0.56,,1,9,0,2005,2020
Alzheimer's Disease,C0002395,ATP5F1A,498,P25705,ATP synthase F1 subunit alpha,Transporter,84,0.604,0.731,0.99945,0.54,,1,6,0,2003,2017
Alzheimer's Disease,C0002395,INS,3630,P01308,insulin,,405,0.445,0.923,0.30091,0.53,,1,6,0,1991,2020
Alzheimer's Disease,C0002395,BAX,581,Q07812,"BCL2 associated X, apoptosis regulator",Signaling,420,0.417,0.885,0.31746,0.52,,1,8,0,1997,2018
Alzheimer's Disease,C0002395,ABCA7,10347,Q8IZY2,ATP binding cassette subfamily A member 7,Transporter,70,0.644,0.577,0.00000000000000000000000000000000000000000000000000000021111,0.5,,0.985,65,13,2011,2019
Alzheimer's Disease,C0002395,TOMM40,10452,O96008,translocase of outer mitochondrial membrane 40,Transporter,113,0.59,0.538,0.99218,0.5,,0.978,92,29,2009,2020
Alzheimer's Disease,C0002395,CLU,1191,P10909,clusterin,,412,0.426,0.885,0.000078072,0.5,,0.94,133,8,1991,2020
Alzheimer's Disease,C0002395,CR1,1378,P17927,complement C3b/C4b receptor 1 (Knops blood group),,129,0.533,0.808,0.000000000000000000000000000000000016488,0.5,,0.971,35,13,2009,2019
Alzheimer's Disease,C0002395,A2M,2,P01023,alpha-2-macroglobulin,Enzyme modulator,147,0.529,0.769,0.000000000045229,0.5,,0.769,39,2,1998,2018
Alzheimer's Disease,C0002395,EPHA1,2041,P21709,EPH receptor A1,Kinase,119,0.544,0.731,0.000000000000000000000014624,0.5,,0.933,15,3,2009,2019
Alzheimer's Disease,C0002395,CD2AP,23607,Q9Y5K6,CD2 associated protein,,113,0.558,0.731,0.22989,0.5,,1,21,2,2011,2019
